0	30	0	
622	99	0	
262	27	0	
187	80	0	
129	13	0	
116	138	0	
86	124	0	
90	110	124	
96	97	234	
74	21	331	
51	4	352	
46	88	356	
75	50	444	
53	68	494	
45	325	562	
45	144	887	
52	53	1031	
77	19	1084	
57	100	1103	
47	10	1203	
79	6	1213	
231	385	1219	
97	20	1604	
82	135	1624	
75	23	1759	
286	72	1782	
72	23	1854	
51	91	1877	
239	156	1844	
146	379	2000	
76	227	2379	
53	92	2606	
50	132	2698	
59	8	2830	
234	159	2838	
196	57	2997	
52	260	3054	
254	20	3204	
235	127	3127	
236	22	3254	
79	110	3276	
57	61	3386	
54	43	3447	
360	8	3490	
263	127	3385	
157	131	3512	
96	91	3643	
106	132	3734	
79	320	3866	
246	121	4186	
115	15	4307	
305	47	4322	
63	57	4369	
253	157	4426	
294	68	4583	
457	79	4533	
52	98	4612	
40	86	4710	
36	285	4796	
36	27	5081	
53	83	5108	
40	185	5191	
289	358	5376	
132	27	5734	
180	277	5436	
63	43	5713	
295	12	5756	
314	180	5768	
430	87	5804	
73	135	5891	
52	86	6026	
161	24	6112	
62	59	6136	
423	54	6195	
31	35	6249	
26	3	6284	
76	13	6287	
61	360	6300	
47	207	6488	
82	72	6695	
54	219	6767	
56	6	6986	
508	31	6992	
80	109	7023	
213	8	7132	
568	19	6739	
338	2	6758	
272	132	6605	
139	8	6737	
117	68	6745	
161	58	6813	
415	179	6871	
45	190	7050	
40	29	7240	
41	43	7269	
161	628	7217	
151	125	7845	
373	110	7970	
94	278	8080	
253	125	8358	
176	66	8369	
57	114	8435	
107	16	8549	
68	80	8565	
228	258	8645	
53	35	8903	
84	132	8938	
69	60	9070	
43	60	9130	
447	69	9034	
284	5	9103	
408	7	9108	
272	189	8736	
105	51	8925	
61	22	8976	
188	9	8998	
355	254	9007	
172	35	9261	
271	145	9069	
55	35	9214	
241	3	9249	
265	28	9252	
87	36	9280	
53	97	9316	
209	17	9413	
118	83	9206	
108	177	9289	
301	57	9466	
173	6	9523	
52	147	9529	
46	34	9676	
363	18	9543	
116	110	9561	
74	98	9671	
232	35	9769	
249	16	9804	
267	148	9820	
28	57	9968	
217	102	9708	
88	2	9810	
36	111	9812	
380	35	9923	
494	279	9811	
659	3	10090	
736	120	9961	
49	124	10081	
77	333	10205	
30	40	10538	
35	94	10578	
82	313	10672	
151	31	10985	
94	402	11016	
23	7	11418	
21	102	11425	
68	152	11466	
118	33	11440	
162	98	11473	
243	118	11571	
197	131	11689	
48	14	11820	
359	22	11703	
61	164	11725	
198	340	11889	
36	49	12229	
160	260	12278	
25	231	12538	
22	139	12769	
20	91	12908	
224	20	12999	
278	122	13019	
173	5	13050	
169	168	13055	
116	10	13223	
250	191	13233	
193	254	13424	
44	111	13678	
160	324	13657	
225	186	13981	
223	103	14167	
34	55	14270	
113	166	14325	
145	155	14491	
105	147	14646	
299	57	14473	
219	196	14530	
97	15	14726	
97	14	14741	
27	1	14755	
21	68	14756	
54	277	14824	
32	12	15101	
20	89	15113	
33	179	15202	
118	33	15381	
468	6	15293	
96	170	15299	
49	54	15469	
216	33	15523	
301	78	15556	
244	34	15515	
104	1	15549	
74	473	15550	
1119	241	15866	
243	93	16107	
22	43	16200	
327	91	16243	
260	87	16187	
68	632	16274	
37	43	16906	
153	67	16949	
29	88	17016	
19	19	17104	
16	12	17123	
15	99	17135	
216	8	17234	
45	40	17242	
35	68	17282	
122	6	17350	
53	12	17356	
28	47	17368	
145	39	17317	
118	39	17356	
43	150	17395	
662	30	17545	
208	298	17575	
97	142	17502	
136	5	17644	
125	24	17649	
581	69	17673	
190	26	17632	
120	130	17658	
456	56	17788	
105	86	17844	
239	69	17930	
153	193	17814	
206	81	18007	
75	83	18088	
18	22	18171	
167	31	18193	
37	420	18224	
521	90	18644	
748	163	18376	
20	7	18539	
169	320	18546	
58	100	18866	
74	5	18966	
19	116	18971	
33	55	19060	
86	67	18838	
39	126	18905	
178	39	19031	
181	37	19070	
289	187	19107	
44	50	19294	
99	14	19344	
246	196	19123	
169	59	19319	
244	122	19378	
37	128	19500	
40	75	19628	
120	443	19703	
33	149	20146	
84	98	20295	
106	33	20393	
147	56	20426	
139	30	20260	
41	55	20290	
82	10	20345	
180	93	20355	
161	82	20448	
156	79	20530	
86	340	20609	
26	112	20949	
16	53	21061	
701	60	20945	
34	308	21005	
154	217	21313	
293	325	21530	
299	24	21390	
470	29	21414	
24	14	21443	
276	49	21457	
19	114	21506	
128	74	21620	
33	357	21694	
367	79	21844	
128	130	21923	
183	393	22053	
31	24	22446	
188	28	22470	
105	113	22498	
20	241	22611	
284	31	22561	
29	18	22592	
17	125	22610	
23	226	22735	
272	31	22961	
34	17	22992	
20	175	23009	
86	69	23184	
359	220	23253	
158	59	23327	
45	74	23386	
100	20	23460	
55	45	23480	
151	54	23525	
46	56	23579	
208	125	23635	
614	44	23599	
59	4	23643	
316	5	23647	
61	3	23652	
18	17	23655	
13	51	23672	
142	173	23723	
129	211	23896	
116	263	24107	
37	26	24362	
51	19	24320	
283	66	24339	
123	151	24405	
342	190	24556	
271	24	24688	
33	172	24533	
198	36	24705	
210	24	24741	
109	39	24765	
181	20	24804	
136	245	24824	
18	115	25069	
77	22	25184	
321	41	25016	
59	112	25057	
208	99	25169	
47	93	25268	
103	187	25361	
124	204	25548	
375	40	25052	
493	48	25092	
166	137	25140	
111	76	25277	
143	379	25353	
250	6	25607	
40	52	25613	
91	21	25665	
35	26	25686	
66	10	25712	
228	268	25722	
134	56	25990	
52	204	26046	
171	15	26250	
259	89	26155	
255	36	26244	
147	93	26280	
102	28	26373	
318	9	26401	
159	107	26132	
49	26	26239	
124	59	26265	
152	46	26324	
51	11	26370	
676	69	26256	
68	110	26325	
23	90	26435	
393	324	26525	
133	69	26849	
14	116	26918	
89	142	27034	
425	98	27110	
99	154	27208	
18	201	27362	
14	656	27563	
116	39	28219	
140	162	28258	
199	112	28420	
81	115	28532	
235	20	28533	
608	44	28553	
118	523	28597	
16	94	29120	
32	29	29214	
21	113	29243	
67	13	29356	
131	19	29353	
207	319	29034	
67	115	29353	
252	32	29468	
59	28	29500	
250	15	29528	
174	44	29543	
55	35	29587	
127	93	29587	
136	118	29488	
131	29	29606	
61	119	29635	
118	278	29754	
45	48	30032	
340	162	30080	
315	4	30113	
199	36	30117	
65	39	30153	
41	151	30192	
38	91	30343	
138	108	30434	
174	113	30542	
88	17	30655	
191	55	30672	
26	299	30727	
19	77	31026	
187	43	30902	
41	277	30945	
489	24	31222	
38	86	31246	
99	65	31332	
235	63	31397	
298	96	31124	
24	13	31220	
175	200	31233	
83	33	31433	
201	58	31466	
61	92	31524	
33	84	31616	
163	333	31700	
214	43	31853	
77	159	31896	
141	344	32055	
112	24	32399	
219	11	32423	
377	36	32434	
207	48	32271	
80	330	32319	
291	74	32649	
37	101	32723	
313	88	32824	
33	23	32912	
39	112	32935	
116	30	33047	
44	10	33077	
66	376	32987	
154	105	33363	
68	44	33468	
307	164	33512	
118	18	33676	
172	59	33694	
457	97	33576	
170	11	33673	
638	101	33684	
662	49	33575	
81	185	33624	
170	29	33809	
111	164	33838	
73	265	34002	
347	12	34105	
205	84	34117	
251	41	34201	
325	267	34242	
81	123	34411	
53	21	34534	
79	1	34555	
22	134	34556	
25	46	34690	
14	56	34736	
59	18	34792	
331	52	34810	
114	37	34862	
82	73	34899	
45	63	34972	
84	153	35035	
210	127	34989	
221	76	35116	
14	154	35192	
145	153	35346	
146	16	35499	
33	34	35515	
15	49	35549	
210	83	35598	
358	29	35522	
145	170	35551	
316	86	35721	
111	73	35807	
106	18	35880	
375	16	35785	
151	209	35801	
29	64	36010	
19	69	36074	
494	52	36143	
123	98	36195	
52	7	36293	
239	703	35986	
149	82	36689	
486	30	36771	
653	118	36678	
166	67	36796	
148	594	36863	
26	56	37457	
156	38	37513	
162	96	37551	
70	24	37647	
22	200	37671	
293	357	37747	
179	114	38104	
36	22	38218	
25	55	38240	
32	21	38295	
37	115	38316	
420	3	38431	
127	66	38101	
34	10	38167	
203	50	38177	
350	67	38227	
21	94	38294	
52	85	38388	
118	99	38473	
144	73	38572	
272	56	38511	
62	86	38567	
166	3	38653	
497	30	38656	
238	243	38373	
107	219	38616	
383	24	38835	
207	9	38859	
16	12	38868	
457	20	38447	
94	60	38467	
188	181	38527	
43	39	38708	
215	158	38747	
31	192	38905	
264	381	39097	
212	9	39369	
142	16	39378	
21	108	39394	
390	209	39502	
900	123	39559	
18	523	39682	
11	123	40205	
204	66	40328	
213	22	40394	
290	35	40285	
209	10	40320	
558	178	40330	
34	244	40508	
21	65	40752	
45	22	40817	
69	41	40721	
98	140	40762	
34	151	40902	
113	69	41053	
13	49	41122	
150	43	41171	
139	43	41214	
70	40	41257	
341	77	41297	
432	10	41243	
396	23	41253	
64	49	41276	
48	103	41325	
177	98	41428	
86	44	41326	
329	50	41370	
28	57	41420	
21	62	41477	
52	29	41539	
200	15	41568	
101	6	41583	
33	153	41589	
22	63	41742	
53	1	41805	
784	168	41466	
31	30	41634	
88	242	41664	
139	11	41906	
270	4	41608	
365	36	41612	
189	245	41648	
205	22	41893	
329	62	41684	
31	151	41746	
19	78	41897	
16	185	41975	
36	92	42160	
123	21	42252	
25	74	42273	
19	183	42347	
74	298	42530	
32	19	42828	
299	35	42847	
41	329	42882	
214	177	43211	
62	40	43388	
308	18	43289	
70	11	43307	
52	171	43318	
103	451	43489	
115	17	43940	
44	16	43957	
184	123	43973	
19	27	44096	
17	2	44123	
181	13	44034	
181	4	44047	
130	122	44051	
14	16	44173	
88	45	44189	
207	22	44234	
432	31	44114	
66	46	44145	
41	2	44191	
95	51	44193	
22	169	44244	
345	49	44413	
29	102	44462	
91	31	44564	
440	51	44422	
286	68	44473	
135	130	44541	
74	107	44671	
95	432	44778	
88	263	45210	
90	8	45473	
589	121	45280	
66	123	45401	
120	6	45524	
221	282	45530	
621	126	45558	
329	34	45684	
39	75	45718	
24	20	45793	
281	69	45813	
423	150	45771	
36	1	45921	
23	63	45922	
20	63	45985	
25	60	46048	
125	266	46108	
209	18	46374	
296	158	46068	
245	202	46226	
146	36	46428	
444	29	46464	
500	14	46307	
22	139	46321	
11	196	46460	
541	114	46656	
400	47	46667	
569	4	46714	
131	7	46718	
212	291	46504	
91	37	46795	
29	76	46832	
336	6	46908	
484	77	46914	
26	16	46991	
556	13	46852	
24	10	46865	
17	100	46875	
29	14	46975	
608	389	46842	
33	10	47231	
46	174	47241	
72	195	47415	
161	106	47610	
70	181	47716	
43	88	47897	
29	39	47985	
24	268	48024	
33	18	48292	
72	134	48310	
440	95	48191	
155	19	48286	
38	12	48305	
134	125	48317	
61	60	48442	
41	1	48502	
260	177	48503	
276	122	48665	
31	98	48773	
106	90	48802	
27	71	48892	
71	29	48963	
529	80	48992	
13	206	49072	
865	158	49001	
112	2	49159	
70	2	49161	
842	58	49062	
103	16	49120	
154	102	49136	
150	235	49238	
37	265	49473	
23	151	49738	
163	34	49710	
194	133	49744	
45	78	49877	
224	20	49955	
133	132	49975	
163	20	50107	
258	181	50127	
234	23	50099	
31	34	50122	
24	80	50156	
19	62	50236	
18	6	50298	
193	80	50304	
63	525	50384	
374	66	50909	
335	155	50888	
156	50	50965	
31	10	51015	
283	223	51025	
78	47	51248	
68	335	51295	
